"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","296-19553-5-ND","TAS3103ADBT","IC AUDIO SIGNAL PROCESSR 38TSSOP","","1","0","11.40000","11.40"
"2","1","PA0039-ND","PA0039","TSSOP-38 TO DIP-38 SMT ADAPTER","","1","0","6.89000","6.89"
"3","1","1568-1067-ND","WRL-12849","MOD AUDIO BT BREAKOUT RN52","","1","0","46.95000","46.95"
"4","1","598-2374-1-ND","WM8782ASEDS/RV","IC ADC/AUDIO 24BIT 192K 20SSOP","","1","0","3.87000","3.87"
"5","1","1568-1095-ND","BOB-00499","SSOP TO DIP ADAPTER - 20-PIN","","1","0","3.95000","3.95"
"6","2","889-1822-ND","ACJS-MV35-3S","CONN JACK STEREO 3.5MM","","2","0","1.43000","2.86"
"7","2","36-972-ND","972","CONN RCA JACK MONO 3.2MM R/A","","2","0","1.95000","3.90"
"8","2","277-1965-ND","1762208","TERM BLOCK PLUG 3POS STR 5.08MM","","2","0","3.07000","6.14"
"9","2","277-1096-ND","1759020","TERM BLOCK HDR 3POS 90DEG 5.08MM","","2","0","1.03000","2.06"
"10","2","WM14749-ND","0950097667","CONN MOD JACK 6P6C R/A UNSHLD","","2","0","0.99000","1.98"
"11","2","WK6265-ND","178.6165.0002","FUSE HOLDER BLADE 80V PCB","","2","0","3.50000","7.00"
"12","1","NHD-0216AW-IB3-ND","NHD-0216AW-IB3","LCD MODULE 32 DIG 16 X 2 PASSIVE","","1","0","27.01000","27.01"
"13","4","226-3104-ND","OEDL-50-3-7","KNOB KNURLED 0.236"" METAL","","4","0","7.54000","30.16"
"14","2","283-3025-ND","BK/ATC-1","FUSE AUTO 1A 32VDC BLADE","","2","0","1.13000","2.26"
"15","4","296-3527-5-ND","CD4504BE","IC TRNSLTR UNIDIRECTIONAL 16DIP","","4","0","0.56000","2.24"